review,kebersihan,linen,service,Gabungan
"lumayan lah buat harga penginapan yg ga terlalu mahal untuk tempat ditengah kota. tempatnya bersih, gak bising. cocok buat istirahat. tapi saran aja nih yaa, tv nya terlalu tinggi. jadi gabisa ditonton. gambarnya kayak gelep gitu, hehe. over all sih nyaman. wifi nya ga ada tapi,hiks. buat anak kuliahan yg mau traveling, dan backpaker reccomended nih. dibawah juga ada tempat laundry an nya. lumayan sambil tidur bisa sambil nunggu baju di laundry, hihi. kemaren siih aku kesana pesen kamar buat org 2, tapi temennya ga jadi karna ketinggalan pesawat. jadi sendirian, sepi, hening :) ",pos,neut,neut,posneutneut
Kamar bersih dan nyaman. cuman sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat. Selebihnya good service.. thanks airy 🙏,pos,neut,neut,posneutneut
"Kualitas tempat baik & bersih, hanya yang perlu dibenahi wifi nya. Soalnya sinyal hape disini jelek",pos,neut,neut,posneutneut
"Kamar OK, bersih, rapi dan fasilitas OK. Hanya AC yang tidak bisa dingin, walaupun sudah di setting suhu rendah dan Fan Jetfan. Mohon diperbaiki. Overall OK. Terima kasih",pos,neut,neut,posneutneut
"Balkon banyak puntung rokok, wifi ga bisa alasannya karena kamar dipojok, kunci toilet nya rusak. tapi kamar nya bersih dan tenang. Harga bersahabat. ",pos,neut,neut,posneutneut
"Hotelnya bersih, bagus, tapi dikamar yg di dapet hot shower nya rusak, jadi gak bisa mandi air panas, tapi overall oke ",pos,neut,neut,posneutneut
tempatnya tenang..bersih dan nyaman. air panas/ shower di stabilin lg,pos,neut,neut,posneutneut
"kamarnya bersih, tp sayang wifinya tidak sampai kekamar dan tayangan televisinya burem(gambarnya tidak jernih hampir smua chanel)",pos,neut,neut,posneutneut
"Kamar bersih,  rapih,  tapi kamar mandi suka bau tiba tiba.  Semoga kedepannya lebih baik.  Over all Oke ",pos,neut,neut,posneutneut
"Kamar bersih, nyaman. Hanya saja air panas tidak berfungsi saat saya menginap. Mohon diperbaiki.",pos,neut,neut,posneutneut
kamar mandi bersih tapi kurang wangi,pos,neut,neut,posneutneut
"Kamarnya bersih dan unik, tapi sayang posisi tempat tidurnya diatas gitu, jd stiap ketinggalan barang harus naik dlu, trus kalau ke toilet hrus trun tangga. Naik turun tangganya bkin capek. Trus pas awal dtang AC g dingin trus tanya mba disana katanya rusak, tunggu service nya datang, pas tukang service datang ternyata AC nya g rusak.",pos,neut,neut,posneutneut
kamar bersih & rapi..tapi sayang hot water nya nggak berfungsi dan suasananya gelap dan sepi..,pos,neut,neut,posneutneut
Nyaman & lumayan bersih. Menurut saya menu sarapan kurang bervariasi dan hot spot wifi perlu ditambah.,pos,neut,neut,posneutneut
"kamar nya bersih, tempat nya nyaman, toilet nya ya lumayan bersih, cuma kloset air nya rusak, hanya kendala di kloset dan air panas untuk di lantai 1. trims airy ",pos,neut,neut,posneutneut
"Saya sudah 3x menginap di sini. Tempatnya sangat worth it dengan harganya. Kamar bersih, kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya. Overall sangat recommended",pos,neut,neut,posneutneut
Kamarnya bersih dan rapi. Kamar mandinya Lumayan. Makanan juga enak2 dan murah. tapi sayang wifinya lemot. thx,pos,neut,neut,posneutneut
"Nyaman.  ruangannya bersih dan luas, hanya saja wifi tidak jalan alias lelet",pos,neut,neut,posneutneut
"bagus,bersih,sedikit bau aroma kamarnya..",pos,neut,neut,posneutneut
"kamar bagus,bersih, wifi lancar, cuma siaran tv yg gak ada",pos,neut,neut,posneutneut
"kamar bersih dan luas,tp sayangnya  wifi nga sampai kamar",pos,neut,neut,posneutneut
Lokasi hotel tidak di jalan utama. di kamar tidak tersedia tlp operator. serta lebih mirip tempat kost. Namun kondisi kamar bersih. free wifi juga blm ada sepertinya.,pos,neut,neut,posneutneut
"kamar bersih, bentuknya unik, tapi sinyal tv tidak jernih",pos,neut,neut,posneutneut
"Airy Progo adalah bangunan yang sama dengan Hotel Progo. sedang renovasi sehingga berisik. Breakfast siap jam 7, tdk ada perlakuan khusus jika check out seblm breakfast. Termasuk kami yg harus segera brkt seblm jam 6pagi. kamar luas,ac dingin,bersih. toilet tua dan tidak ada water heater. semoga lebih baik setelah renovasi",pos,neut,neut,posneutneut
kamar bersih tp agak bau dan asalnya dr lemari pakaian...alhasil lemari g kepake krn takut baunya ngikut... biaya tambahan 1 org utk sarapan terlalu tinggi utk ukuran hotel bintang 3,pos,neut,neut,posneutneut
"tempat bersih nyaman, cuman wifi sangat sangat lemot banget, makasih",pos,neut,neut,posneutneut
"Dua kali menginap dihotel sm dan dapat kamar yang sm tetep AC ndak pernah dingin serasa tidak ada AC nya itu kamar dan suara pendingin kamar yang cukup berisik,tp selaen masalah AC yang tidak pernah dingin makanan dan kebersihan cukup memuaskan saya dan ke",pos,neut,neut,posneutneut
Kamar bersih tapi toilet banyak cacingnya,pos,neut,neut,posneutneut
lumayan murah karena dpt diskon..bersih nyaman privat kekurangan g da hot water. .. restaurant kurang..for all ok lah...,pos,neut,neut,posneutneut
Kamar sangat bersih tlong siaran tv nya di perbaiki krna sama skli gak bsa nonton gara2 chanel nya bnyk yg gak jelas..  Trus tempat parkir msih kurng aman msih ada rasa was was mskpun ada cctv Tp buat saya top bnget deh... Mksih atas playanan nya,pos,neut,neut,posneutneut
Bersih... rapih dan lumayan bagus kamar nya....nyamanlah utk istirahat. Tapi banyak semut kecil2..  kalau mlm air panas nya dingin. Gak ada pintu langsung ke lobby/resepsionis jadi harus turun dulu ke basement. Tapi sdh hari ke 4 masih betah tidur disini.,pos,neut,neut,posneutneut
Sya puas menginap di hotel ini dari segi harga sangat terjangkau acbagus keaman bagus kebersihan juga bagus yang hanya air panas gak panas,pos,neut,neut,posneutneut
"(+) kamar besar, baru, bersih. hari ke 1 AC tdk dingin, tp diganti pihak homestay dgn kamar yg lain (-) tdk ada lift, wifi lambat, Breakfast cm dikasih 2 piring. sesuai dgn harganya.",pos,neut,neut,posneutneut
"kamar nya luas bersih dan nyaman , hanya saja wifi perlu diperbaiki serig putus",pos,neut,neut,posneutneut
kamar bersih nyaman..namun kurang sesuai dengan penawaran fasilitasnya..ac mati..wifi tidak bisa conect..dan kamarnya terlalu sempit..,pos,neut,neut,posneutneut
lokasi hotel strategis dekat mall SKA. kamar tidak terlalu luas namun cukup bersih. kamar mandi pun sempit. hot shower airnya panas. menu breakfast bervariasi banyak dan enak. wifi tidak bs konek.,pos,neut,neut,posneutneut
untuk kamar bagus dan bersih. dapet breakfast lumayan banyak pilihan. cuma air kamar mandi nya berbau dan berwarna kuning.,pos,neut,neut,posneutneut
"kamar bersih walau hotel lama,wifi parah,makanan tidak ada variasi tapi rasa oke.posisi yang strategis kemana2",pos,neut,neut,posneutneut
kamar luas & bersih tapi air panasnya tidak fungsi,pos,neut,neut,posneutneut
"Tempatnya nyaman, bersih walaupun lemari nya sedikit bau tp over all is ok",pos,neut,neut,posneutneut
"kamar nyaman,bersih hanya lobby dan tempat parkir perlu diperbaiki",pos,neut,neut,posneutneut
"nyaman, bersih, tv aja yang kurang bagus ga ada yg bisa ditonton dgn jelas. ac dingin.",pos,neut,neut,posneutneut
"dekat dg jatimpark 2, kamar bersih cuma pada saat datang guest house sedang di renovasi jd banyak debu. saat itu saya bawa 2 bayi. jd keluar hotel hanya untuk ke jatimpark saja",pos,neut,neut,posneutneut
nyaman dan bersih... cuma air hangat nya ga begitu hangat masih dingin,pos,neut,neut,posneutneut
kamar wangi sekali. bersih. nyaman. cuma satu ac kurang dingin mas :(,pos,neut,neut,posneutneut
"bersih nyaman, tp wifi ga nyala pada wakfu itu.",pos,neut,neut,posneutneut
"ruangan bersih, akses cukup mudah, cuma posisinya di lantai 2 yg tdk sesuai dengan kriteria airy adalah tidak tersedia air panas / hot shower, padahal bg saya itu cukup penting",pos,neut,neut,posneutneut
kamar nyaman dan luas..bersih...cm g ada wifi sama air panas...,pos,neut,neut,posneutneut
"Bagus , nyaman dan bersih. Kalau bisa utk saluran chanel tv nya ditambah lagi biar bisa nnton siaran tv yg lainnya. hanya itu saja sih selebihnya good lah",pos,neut,neut,posneutneut
"Kamar nyaman dan bersih, utk kolam renangnya harus d bersihkan karena lumayan kotor",pos,neut,neut,posneutneut
"1. hotel yg bagus, sayang saat masuk,bau rokok di lobby nya 2. internet lambat,mohon ditingkatkan 3. tv kabel hanya sedikit, mohon ditingkatkan 4.kamar bersih dan nyaman 5. sarapan variatif dan lezat 6. kolam renang,membuat betah,tp sayang ada warga sekitar,bkn penyewa hotel yg ikutan renang,membuat ramai,krn mereka anak2 usia tanggung.",pos,neut,neut,posneutneut
"bangunan baru, kebersihan ok ,, ga jauh dr jalan utama..perlu pengharum buat di toilet... tq",pos,neut,neut,posneutneut
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",pos,neut,neut,posneutneut
"Sesuai dengan ekspektasi, kamar bersih walau agak sempit, kamar mandi bersih namun sayang tidak ada air hangat, cocok untuk backpacker dengan harga yang cukup murah.",pos,neut,neut,posneutneut
"lokasi sangat strategis, murah, cocok buat yg ga neko-neko dan cari tempat untuk tidur. sebenarnya kebersihan cukup tp bau kurang sedap dari toilet agak mengganggu",pos,neut,neut,posneutneut
"bagus,mumer dan bersih,yg kurang cm air hangat buat mandi aja",pos,neut,neut,posneutneut
"Kamar rapih bersih wangi, tapi wifi tidak sampai ke kamar, air kurang hangat, keran shower bocor mohon untuk ditingkatkan 😉",pos,neut,neut,posneutneut
"Bangunan kos-kosan, kamar bersih, kamar mandi kotor. Suasana sepi enak buat istirahat. Kesulitan mau",pos,neut,neut,posneutneut
tempatnya bersih hanya saja acnya kurang dingin,pos,neut,neut,posneutneut
"kamar nyaman dan bersih, yg kurang baik hnya air panas dan sarapan.. but overall baik ",pos,neut,neut,posneutneut
"Cukup nyaman, rapih dan bersih. Hanya saja AC kurang dingin. ",pos,neut,neut,posneutneut
"Proses check in cepat, kamar bersih, tersedia air hangat. Saat saya menginap wifi sedang mati, TV tidak bisa menyala.",pos,neut,neut,posneutneut
"kamar bersih,air panas lancar hanya saja siaran tv lokal saja.selebih nya ok deh...",pos,neut,neut,posneutneut
kamar bagus rapi bersih nyaman lah pokoknya .. cuma air panas agak lama keluarnya . overall bagus lah ..,pos,neut,neut,posneutneut
"Kamar bersih, lumayan bgt buat harga segitu...fasilitas oc, cma tayangan saluran tvnya gak semua bersih... lampu 2x mati, tp penanganannya masih sipp la... Agak ribut jga, suara2 dr luar terdengar dikamar.",pos,neut,neut,posneutneut
"Nyaman, baik, bersih, wifinya gak sampe kamar ",pos,neut,neut,posneutneut
Hotelnya strategis. Kmr bersih. Tapi hotel perlu di renovasi krn dinding kmr kotor sekali. Tembok2 catnya uda ngelupas spt tak terawat,pos,neut,neut,posneutneut
Cukup baik hy perlu perawatan sj d bagian kamar mandi. ruangan cukup bersih. cm nyamuk msh byk.,pos,neut,neut,posneutneut
"Lumayan bersih, nyaman Cuma showernya rusak, airnya ketika di setel hangat, yang keluar panas, bentar kemudian dingin, panas lagi, dst. ",pos,neut,neut,posneutneut
"kamar bersih,malah terlalu luas..jadi kaya kosong gitu suasana nya,cuman bau kmr apek tdk di semprot pengharum saat baru masuk dan penerangan kurang,menu sarapan sesuai harga kmr..bisa di maklumi",pos,neut,neut,posneutneut
"kamarnya bagus bersih, cuman dapet yg tanpa jendela. airnya terlalu panas dan gak bisa pake air dingin, airnya yg keluar hanya sedikit. overall kalo buat semalam sih cukup lah.",pos,neut,neut,posneutneut
tempat tidur dan ruangan bersih hanya ac tidak berfungsi dgn baik,pos,neut,neut,posneutneut
"perlu ditambah pengharum di lemarinya. overall kamarnya bersih banger, nyaman, fasilitas lengkap, ac dingin.  kalau bisa sediakan line telepon untuk pemesanan taksi, karena letaknya cukup jauh dari jalan raya. ",pos,neut,neut,posneutneut
hanya sj ac nya kurang dingin...g ad sendalnya.....semuanya nyaman kebersihan nyaman.....tapi knp di jakut hanya sedikit hotel airy nya...,pos,neut,neut,posneutneut
nyaman dan bersih tapi hanya 1 kurangnya AC nya kurang dingin..,pos,neut,neut,posneutneut
kamar bersih.. air buat mandi kurang panas.. over all good.,pos,neut,neut,posneutneut
"kamar bersih, nyaman. perlu ditingkatkan layanan air panas untuk mandi. dan jika kamar nya dengan view akan lebih baik.",pos,neut,neut,posneutneut
"kamar bersih,  ac gak kurang dingin.. so far so good 👍",pos,neut,neut,posneutneut
Kamar mandi bersih dan wangi. channel televisi kurang banyak karena memakai antena dalam. kamar bersih dan wangi. Terima kasih. Lemari baunya agak apek karena lembab.,pos,neut,neut,posneutneut
"Tempatnya secara keseluruhan baik, rapi, bersih. Hanya hot shower tak tersedia",pos,neut,neut,posneutneut
"sesuai gambar, bersih, ac dingin, wifi kencang, hanya channel tv yg kurang:)",pos,neut,neut,posneutneut
"kamar luas dan bersih hanya kamar mandinya yang kurang terawat, sarapan juga banyak variasinya, lokasi di pinggir jalan dan dekat mini market",pos,neut,neut,posneutneut
"Kamarnya bersih banget, terasa nyaman dan segar, membuat pengalaman menginap sangat menyenangkan.",pos,neut,neut,posneutneut
"Suasana kamar sangat bersih dan rapi, memberikan kesan menyenangkan selama menginap di sini.",pos,neut,neut,posneutneut
"Kebersihan kamar sangat terjaga, memberikan rasa aman dan nyaman selama menginap di Airy Rooms.",pos,neut,neut,posneutneut
"Kamar sangat terawat dan bersih, suasana yang nyaman dan segar membuat istirahat jadi lebih baik.",pos,neut,neut,posneutneut
"Kesan pertama begitu baik, kamar sangat bersih dan terawat dengan baik, membuat pengalaman menginap jadi sangat menyenangkan.",pos,neut,neut,posneutneut
Hotel ini luar biasa! Kebersihannya tidak diragukan lagi.,pos,neut,neut,posneutneut
Saya terkesan dengan kepedulian mereka terhadap kebersihan; kamar benar-benar bersih.,pos,neut,neut,posneutneut
Sangat menyukai suasana yang bersih dan rapi di hotel ini.,pos,neut,neut,posneutneut
"Kebersihan kamar sangat memuaskan, saya merasa sangat nyaman.",pos,neut,neut,posneutneut
Pelayanan hotel yang bersih dan terjaga membuat pengalaman menginap jadi lebih menyenangkan.,pos,neut,neut,posneutneut
Mereka mengutamakan kebersihan dan itu terlihat dari setiap sudut hotel.,pos,neut,neut,posneutneut
Saya sangat senang melihat standar kebersihan yang sangat tinggi di sini.,pos,neut,neut,posneutneut
"Kamar mandi bersih, handuk diganti dengan yang baru setiap hari.",pos,neut,neut,posneutneut
"Kebersihan luar biasa, membuat saya merasa sangat dihargai sebagai tamu.",pos,neut,neut,posneutneut
"Semua area hotel selalu terjaga kebersihannya, sangat mengesankan.",pos,neut,neut,posneutneut
Saya tak menemukan cela sedikitpun terkait kebersihan di sini.,pos,neut,neut,posneutneut
Staff hotel sangat peduli dengan kebersihan dan kenyamanan tamu.,pos,neut,neut,posneutneut
Suasana yang bersih di hotel ini membuat saya ingin kembali lagi.,pos,neut,neut,posneutneut
Mereka benar-benar memperhatikan setiap detail kebersihan.,pos,neut,neut,posneutneut
Ketertiban dan kebersihan yang dijaga dengan baik membuat penginapan ini istimewa.,pos,neut,neut,posneutneut
Saya merasa aman dan nyaman berkat kebersihan yang terjaga dengan baik.,pos,neut,neut,posneutneut
"Tidak ada debu atau kotoran sama sekali di kamar, sangat bersih!",pos,neut,neut,posneutneut
Mereka konsisten dalam mempertahankan standar kebersihan yang tinggi.,pos,neut,neut,posneutneut
Kebersihan kamar dan fasilitas hotel sangat memuaskan.,pos,neut,neut,posneutneut
Inilah salah satu hotel dengan tingkat kebersihan tertinggi yang pernah saya kunjungi.,pos,neut,neut,posneutneut
Saya sangat terkesan dengan tingkat kebersihan yang luar biasa di setiap sudut hotel ini.,pos,neut,neut,posneutneut
"Hotel ini tak pernah kehilangan fokus pada kebersihan, sangat mengesankan.",pos,neut,neut,posneutneut
"Kebersihan luar biasa, membuat saya merasa tenang dan santai selama menginap.",pos,neut,neut,posneutneut
"Kamar selalu dibersihkan dengan sempurna setiap hari, pelayanan yang luar biasa.",pos,neut,neut,posneutneut
Mereka jelas mengutamakan kebersihan dengan standar tinggi.,pos,neut,neut,posneutneut
Saya merasa nyaman karena kebersihan yang terjaga dengan sangat baik.,pos,neut,neut,posneutneut
"Sudah beberapa kali menginap di sini, kebersihan selalu menjadi prioritas utama.",pos,neut,neut,posneutneut
"Dari lobi hingga kamar, semuanya bersih dan terawat dengan sangat baik.",pos,neut,neut,posneutneut
Fasilitas umum hotel ini selalu bersih dan rapi.,pos,neut,neut,posneutneut
Staf sangat memperhatikan detail kebersihan yang membuat pengalaman menginap luar biasa.,pos,neut,neut,posneutneut
"Kebersihan hotel ini layak diacungi jempol, sangat memuaskan.",pos,neut,neut,posneutneut
"Kamar terawat dengan sangat baik, tidak ada keluhan terkait kebersihan.",pos,neut,neut,posneutneut
"Mereka tak pernah mengabaikan kebersihan, bahkan di masa ramai pengunjung.",pos,neut,neut,posneutneut
Kesegaran dan kebersihan udara di dalam hotel sangat terjaga.,pos,neut,neut,posneutneut
"Setiap permukaan terlihat bersih dan steril, hal yang sangat dihargai saat ini.",pos,neut,neut,posneutneut
Hotel ini jelas menginvestasikan waktu dan upaya untuk mempertahankan kebersihan yang luar biasa.,pos,neut,neut,posneutneut
"Kebersihan hotel ini jauh melampaui harapan saya, sangat impresif.",pos,neut,neut,posneutneut
"Ketika datang ke kebersihan, hotel ini tak memiliki kompromi.",pos,neut,neut,posneutneut
Kamar mandi selalu bersih dan terawat dengan baik.,pos,neut,neut,posneutneut
Saya merasa aman dari segi kebersihan dan sanitasi selama menginap di sini.,pos,neut,neut,posneutneut
Kebersihan luar biasa membuat saya merasa di rumah.,pos,neut,neut,posneutneut
Hotel ini adalah contoh bagus tentang bagaimana menjaga kebersihan dengan benar.,pos,neut,neut,posneutneut
"Mereka sungguh-sungguh menjaga kebersihan secara konsisten, tak ada cela sedikitpun.",pos,neut,neut,posneutneut
Saya sangat puas dengan tingkat kebersihan yang terjaga dengan sangat baik di sini.,pos,neut,neut,posneutneut
Kebersihan adalah hal yang tidak pernah diabaikan di hotel ini.,pos,neut,neut,posneutneut
Setiap sudut hotel selalu terlihat bersih dan tertata dengan rapi.,pos,neut,neut,posneutneut
Kualitas kebersihan kamar sama sekali tidak pernah mengecewakan.,pos,neut,neut,posneutneut
Mereka sangat serius dalam memberikan pengalaman yang bersih kepada tamu.,pos,neut,neut,posneutneut
Tidak ada yang bisa mengganggu tingkat kebersihan yang luar biasa di sini.,pos,neut,neut,posneutneut
"Kebersihan hotel ini patut diacungi jempol, layak direkomendasikan kepada siapa pun.",pos,neut,neut,posneutneut
