Nama,Bintang,Tanggal dan Waktu,Ulasan
Oching Star,1,11/15/2023 18:31,Awas jebakan dari Paylater nya Traveloka kawan!!! Kalau tidak mau kecewa jangan coba coba pakai jasa Payater Traveloka. Jangan sampai kalian kirim foto KTP dan foto diri kalian ke Traveloka. Karena pasti Mereka Seenak jidat menolak dan menghilangkan fitur Paylater di Traveloka kita Setelah bolak balik suruh perbaiki dan kirim data pribadi. Dan hapus data pribadi saya yg sudah terlanjur saya kirim ke Traveloka ! Saya laporkan polisi jika data saya disalahgunankan!
Anggun Anggrit,5,11/15/2023 5:11,"Keren banget sih ini, kalo mau pergi2 ga bingung2 cari hotel sma tiket pesawatnya, pilihan hotel jg banyak dan terpilih, ga asal hotel dimasukin, tp dari hotel bintang 2 sampe hotel bintang 5 bisa dtemuin dsini semua, pembayaran jg gampang, ga repot2, thx traveloka, sukses selalu..."
Taufik Aza,1,11/8/2023 19:14,"Tanggal 6 bulan 11 saya sudah pesan tiket, tapi di batalkan oleh pihak maskapai lion air melalui traveloka, dan akhirnya saya me refund dana saya, alhasil belum balik sampai tgl sekarang. Tanggal 10 bulan 11 ini saya pesan lagi tiket pesawat untuk ke meulaboh, tapi alhasil di batalkan juga oleh pihak maskapai lion air. Dengan alasan terkendala oleh operasional. Enaknya dr pihak lion air, ketika ada pe refundan, malah terpotong 517 rb, enak banget ya cari uang dengan kaya ginian. Lion air PAYAH"
Maria Rosalina,4,11/15/2023 9:20,"Untuk pembayaran akan lebih baik kalo bekerjasama dengan ovo,gopay,shopeepay atau Dana...digital wallet yg jauh lebih populer di bandingkan Uangku.... sehingga memudahkan proses pembayaran....saya cari aplikasi uangku tidak ada di playstore...mau unduh online di luar playstore takut kena virus..."
Safa Umroh,1,11/6/2023 4:24,Saya mau review jujur. Ternyata yang memberi rating di apk ini tidak semuanya jujur. Ada kerabat dekat saya yg diajak untuk bergabung Traveloka partner ship dan akan diberikan insentif. Tapi setelah lebih dari 3 hari insentif ga dikasih dan nomor kerabat dkt sy di blok. Memang insentifny tidak seberapa. Tapi kalo cara kerjany seperti itu sama saja membohongi banyak pihak. Terimakasih
Amanda Ayu Agustin,5,11/17/2023 13:03,"Aplikasi yang bagus dan banyak promo. CS sangat ramah dan membantu cust saat menghadapi kendala, cepat dan solutif. Love banyak"" sama traveloka"
Dafamasyian,5,11/4/2023 8:59,"setelah dibandingkan dengan aplikasi lain nya Traveloka lebih baik,dengan cara pemakaian nya yg ui,mudah dan simpel,dan mempunyai fitur yang banyak dan sangat membantu"
Febby Astuti,5,11/10/2023 11:27,"Aplikasinya bagus,sangat membantu dan memudahkan pengguna ketika mau bepergian. Berpergian jadi tidak ribet harus membeli tiket dan mencari hotel,bisa beli tiket dan mencari hotel dari mana saja dan kapan saja, hotel dan armada yang ada di traveloka juga sangat recomended. Admin nya juga ramah"
Pasti Bisa,1,11/8/2023 9:41,"Tolong untuk traveloka khususnya traveloka paylater tolong untuk tidak membocorkan informasi pribadi khususnya data customer no handphone pribadi kepada pihak manapun,,baru saya ajukan pinjaman untuk menginap dan saya pun belum menginap periode bayar pun belum lewat sudah ditelepon oleh puluhan no yang tidak jelas,,harusnya data konsumen sudah dijamin oleh ojk agar tidak disebarluaskan,,untuk yang mau pakai traveloka paylater harap dipikir ulang kalau tidak mau di telpon no yang tidak jelas."
Sri Rahayu,5,11/15/2023 6:05,"Terimakasih traveloka, dengan adanya traveloka mempermudah kita untuk bertransaksi, lebih mudah, lebih gampang, dan lebih banyak pilihan untuk di gunakan ????????"
Diva Elviana,5,11/11/2023 6:20,"Aplikasinya bagus,banyak promo yg ditawarkan, banyak destinasi ygditawarkan, worit deh yg bingung mau jalan"" kemana buka aja traveloka dijamin gak bingung lagi. Terima kasih traveloka"
Ardian. Syah22,5,11/5/2023 10:53,"Setelah saya bandingkan dengan aplikasi lain, traveloka yg paling gampang dan mudah untuk di gunakan, fitur nya juga banyak dan membantu, aplikasi traveloka mantap"
Caesar Fattahilah,5,11/4/2023 6:30,"dengan aplikasi ini saya bisa menemukan hotel hotel hidden gem ang ada disekitar saya, serta bisa mendapatkan potongan harga yang menarik sekali. wajib diinstal bagi yang belum pernah cobaiin dan jangan khawatir payment methodenya sangat mudah sudsh tersedia diberbagai macam platfrom"
Dwi Yulianti,5,11/10/2023 1:22,Saya senang pertma kali nyoba aplikasi ini dan pesen hotel murah tp fasilitas bagus. Pertama kali ngoba nginep dihotel lewat aplikasi ini. Ngga ribet. Apa lagi banyak promo.
MELKY SALAHUDIN,1,11/4/2023 17:19,"Kalo masalah reschedul aplikasinjadi lelet, refund diperumit dan ditekan semurah murahnya, dikomplain yg jawab robot, tidak usah capek capek hubungi CS, masalah anda tidak akan menemui solusi, adanya anda tambah pusing."
amos wang,1,11/3/2023 7:02,untuk pemesanan cepat tapi mengapa saya sering dapat harga di aplikasi lebih mahal daripada harga di tempat? terakhir kena iming2 diskon 60% tapi ternyata lebih mahal drpada harga langsung di tempat. saatnya cari aplikasi lain......
Eka Wahyuning Putri,5,11/17/2023 12:19,Setiap beli tiket kereta dan hotel pasti di traveloka. Aplikasinya mudah digunakan dan fitur2 nya lengkap. Suka dapet diskon jugaaa ehehe
Anni Saur rohmah,5,11/13/2023 11:53,"aplikasi traveloka sangat bagus , dan pelayanan juga ramah??top banget pokoknya mah aplikasi nya tidak mengecewakan bener"" aman dan nyaman pokoknya jangan lupa pake apliksi traveloka ya manteman????"
Riki Chandra,1,11/15/2023 7:48,"Nih aplikasi parah di kasih limit 15jt sudah di pakai jatuh tempo ajh belum bayar selalu on time, blm 1bln level turun 2 lalu limit cuma 2jt, aplikasi sampah mempermainkan orang, ga harus juga pakai paylater cuma iseng cari poin, tau kek gini lebih baik Pake Credit Card bunga 0%, ga ke paylater ini sampah bunga besar"
Pervecto Life (L),1,11/8/2023 9:30,"Tadinya saya suka traveloka. Tapi sekarang jadi benci banget. Top up saldo uangku buat beli tiket malah bilang pemeliharaan sisttem. Jadi saldi ngendep di uangku ditraveloka. Aplikasi macam apa ini, masa enggak kaya shoppe dana atau yang laen2 sih. Kalo bisa top up harusnya bisa tarik dong. BELI TIKET TENGAH MALAM MALAH PEMELIHARAAN SISTEM DAN BANK UNTUK TF JUGA CUMA MANDIRI. HADEEEEEEEEHHH JANGAN BUAT APLIKASI KALO GA BISA KASIH SOLUSI!!"
Rini Tzuyukpop,5,11/15/2023 5:26,Aplikasinya mempermudah bgtt. Jadi gak susah susah kalau pergi jauh jauh. Download Traveloka ajaaaa. Beneran bisa di percaya bgtttt. Memuaskan bintang 10 !!
Agus Pram,5,11/9/2023 12:47,"Sangat membantu ketika mau bepergian,, tiket hotel maupun pesawat semuanya ready tinggal pilih dari kelas ""ekonom hingga bussines"" sesuai kebutuhan dan budget anda rekomended banget deh pokoknya di traveloka.."
Lenny Maay,5,11/10/2023 4:26,Aplikasi perjalanan ini luar biasa. Sangat membantu dan terpercaya dan juga selalu memberi penawaran yg cocok buat para pengguna. Maju terus traveloka.??
Emmia Yasinta,5,11/13/2023 11:03,aplikasi yang sangat membantu dalam segala hal seperti beli tiket pesawat booking hotel bisa beli tiket kereta api tiket bus dan yang paling penting pasti tunggu-tunggu itu adalah promo yang banyak. Tidak ketinggalan juga dengan fitur yang mudah dipahami jadi perjalanan lebih mudah dengan Traveloka. Terima kasih Traveloka
Resy Dwi Laras,1,11/6/2023 4:25,"Duh, ada grup telegram yg minta rating 5, udh dksh rating katanya mau ksh fee sampe skrg ga masuk2 feenya, udh gtu tbtb telegram saya ilang logouttt untung masih bisaa, tp semoga aja data saya ga disalah gunakan, mohon untuk develop di urus org2 kaya gini2 . Kasar pula bahasanya."
nadila izza,5,11/2/2023 11:46,"Asli, nih aplikasi emang bener2 mudahin kita banget kalo berpegian keluar kota. Mau dadakan kaya tahu bulat kek, Insyaallah kalo ada traveloka gk bakal tidur di jalan. Apalagi kalo dapet diskon wkwkkw ?"
Seno Alamsyah,3,11/12/2023 10:52,Tolong lebih akurat lagi lokasi di petanya. Saya lihat di peta Traveloka tempat yang ingin saya tuju dan hotel tempat saya akan menginap hanya berkisar 1 km pada kenyataannya ternyata lebih dari 3 km.
Habib Ibrahim,5,11/14/2023 9:24,"Waaaa traveloka adalah aplikasi yang sangat bagus dan bermanfaat sekali bagi orang orang yang suka sekali pada travel ke luar negri atau dalam negri,, sebaiknya kalian semuaa segera download aplikasi terbaik inii sekarang jugaa????"
Reny Febrianti,5,11/4/2023 11:23,Traveloka emang selalu jadi yang terbaik deh. Klo soal mesen tidak gk ribet. Klo cari hotel juga lengkap dari mana aja. Cepet lagi ini yang gua cari . Semangat Traveloka
Kyul 01,5,11/16/2023 6:07,"Aplikasi yang sangat bagus, karena ada Traveloka rencana perjalanan saya menjadi lebih efektif, dan banyak promonya jga, rekomen bgt bngtttt"
Rendy Gustiawan,5,11/2/2023 11:01,"aplikasi ini sangat bagus, dapat mempermudah beli tiket agar tidak cape� antri, banyak sekali diskon nya dan pilihan untuk liburan nya juga banyak, tunggu apalagii, ayo segera pakai traveloka"
Puja Ardana,5,11/15/2023 4:39,"Selain gratis Traveloka Points, pengguna baru aplikasi Traveloka juga akan mendapatkan diskon untuk berbagai produk Traveloka seperti diskon tiket pesawat domestik, diskon hotel, diskon tiket kereta, dan diskon produk lainnya."
IMAS ImaS,5,11/3/2023 12:01,Traveloka aman dan mudah untuk diakses dan sangat membantu kinerja saya yang sering berlibur dan menginap biaya serta jaminan yang bagus banyak diskon2 lagi terimakasih traveloka
Ita Pujiyanti,5,11/12/2023 6:51,Terimakasih Traveloka sangat membantu untuk mencari penginapan yg terbaik ya pakai Traveloka semua info ada disini lengkap.. Mau traveling terbaik ya hanya dengan Traveloka...
Sur yadi,5,11/4/2023 4:22,Aplikasi Ini sangat praktis dan membantu ketika kita ingin bepergian jauhh dan hendak mencari tiket pesawat ataupun kereta pokoknya sangat baguss dan puas banget pake Traveloka.
Sahrul Rul,5,11/17/2023 12:17,"Apk nya bagus pilihan wisatanya banyak dan banyak promo yang ditawarkan juga.dan kalau kalian mendadak tidak jadi berangkat ada fitur reschedul, jadi kalian jangan khawatir. terimakasih"
adi mardiawan,2,11/17/2023 11:59,Virtual number tiba tiba tidak bisa dipakai padahal aku bayar selalu tepat waktu dan sering bertransaksi pakai traveloka.tp knp tiba tiba tidak bisa d gunakan
LMP,1,11/4/2023 0:33,"Saya kecewa sama aplikasi Traveloka, penerbangan saya di tunda 1 hari oleh maskapai lion air padahal saya udh dtng 2 hari sebelum berangkat. jadi saya gak jd berangkat. Saya refund tp saya cuma di kembalikan setengah dari harga tiket. Seharusnya full dong ,itu juga saya harus nunggu 14 hari biar uang kembali. Kecewa banget"
uci nelfita,4,11/9/2023 1:03,Sebulan terakhir tidak bisa digunakan.. padahal langganan beli tiket pesawat disini ..terdapat masalah koneksi ...padahal jaringan bagus terus
Dn Al Azril 23,5,11/17/2023 5:38,"Aplikasi yg bagus, sangat membantu. Terutama yg ingin bepergian. Jadi tidak usah repot� kesana kesini. ???? Mudah�an semakin berkembang. Good job. ????"
Dani Saputra,4,11/2/2023 9:28,Cukup puas dulu menggunakan travoloka tetapi kenapa sekarang kok susah cari tiket pesawat kok halaman nya ngk ada yg kebuka malah suruh nginstal ulang apk nya mohon di perbaiki secepat nya
Naya Dewilestari,5,11/13/2023 5:39,"Aplikasi yang menjanjikan bagus cepat dan simple, banyak promo menarik juga sangan recomended buat kalian yang suka jalan jalan tapi gamau ribet."
andi makkareso,5,11/15/2023 5:21,"Aplikasi ini membuat saya lebih memahami lagi soal daerah"" Mana saja yang ada diindonesia yang memiliki wisata yang populer dan bagus buat jalan"" Bareng keluarga... Terima kasih"
chaca afinda,1,10/6/2023 11:57,"sangat merugikan customer dengan adanya paylayter , padahal bayar selalu sebelum jatuh tempo dan gak pernah telat terus payment nya tapi kenapa tiba2 skor dan limit malah turun drastis dari platinum sampe ke bronze dan virtual number juga jadi tidak ada limitnya , tolong kalo mau turun kan limit dan skor liat yg mana bener2 orang bayar tepat waktu gak pernah telat sama orang yg telat terus bayarnya , ini bayar selalu sebelum jatuh tempo malah kena dampak nya , udah mau BANGKRUT APA?"
Dewi Sartika,5,11/6/2023 8:54,"Sangat membantu saya ketika mau pesan tiket dll, caranya juga ga ribet pokoknya mudah. terus buat claim tiket dimana pun juga ga ribet. thanks Traveloka."
Annisa Shalsabilla Putri,5,11/14/2023 5:49,"Aplikasinya luar biasa bagus, banyak promo yang disediakan dan juga tampilannya sederhana memudahkan pengguna sewaktu menggunakan aplikasi ini, top!"
yayan suryana,5,11/10/2023 5:35,Aplikasi yang sangat berguna untuk melakukan perjalanan bisnis dan liburan karena dapat menghemat waktu dalam pemesanan tiket baik transporasi maupun penginapan.
Frilla Katulistyana,5,11/8/2023 5:42,"Sangat membantu sekali , dan juga lebih mudah untuk cari tiket pesawat kemanapun gak pake ribet harga pun kompetitif."
story ind,5,11/2/2023 10:29,Aplikasi traveling paling recommended dari semua aplikasi yang ada. Dari dulu udah pakai Traveloka karena simple dan gampang banget pembayarannya
alifah zalfa,5,11/3/2023 7:40,"Sangat baik, perjalanan jadi lebih mudah, langsung satsetsatset, baik sekaliiiiiiiiiiiiiii, ga nyesel pake aplikasiii iniiiii, suksessss"
muhammad Lutfi alviano,5,11/11/2023 6:45,"Bagus aplikasi nya dan mudah digunakan apalgi bagi saya yang perantau, bisa untuk cek tiket pesawat maupun kereta api saat pulang , dan gk repot lgi harus antri tiket lagi"
Siti Nuraeniah,5,11/5/2023 4:24,"Booking hotel, pesan tiket kereta, pesawat, dll jadi lebih mudah menggunakan traveloka, ditambah ada voucher diskon jadi lebih murah dibanding beli langsung di tempat."
fernida lia pramitha,5,11/3/2023 10:20,"Traveloka apk yg sangat membantu untuk segala jenis perjalanan, tour, atau holiday promo2nya juga banyak dan Traveloka sekarang juga membantu dalam mencari makanan"
Eko Setiawan,5,11/9/2023 12:36,"Aplikasi perjalanan ini sangat bagus, memungkinkan masyarakat dengan mudah mencari informasi tiket pesawat, hotel dan lainnya, dan semoga diperbaiki dalam hal pembayaran."
Tiny Wahyuni,5,11/7/2023 4:30,"Adanya apk ini sangat membantu saat pergi kluar kota, mempermudah saya mecari tempat hotel terdekat dan mencepat transaksi."
walet central,5,11/15/2023 10:10,Sangat membantu untuk yang suka traveling karena lengkap bisa pesan tiket pesawat dan hotel jadi mempermudah serta banyak promo menarik. sukses selalu buat Traveloka
Elok Tri Wahyuni,5,11/14/2023 11:50,"pilihanku hanya traveloka, walaupun ada yang lain2. pencariannya mudah dan banyak sekali penawaran kupon hotel dan tiket kereta maupun pesawat??????"
Fadiaturohmah,5,11/8/2023 4:38,Proses pemesanan yang mudah Banyak pilihan Banyak promo menarik Kemudahan akses pembayaran Garansi dan asuransi perjalanan yang oke
Gita Agustina,5,11/15/2023 10:18,Aplikasi sangat bagus sangat membantu dalam mencari tempat untuk istirahat atau penginapan atau untuk bulan maduh rekomendasi banget
Firman Hidayatullah,5,11/6/2023 22:04,"Aplikasi yang sangat membantu sekali untuk travelling, paket lengkap pokoknya, tiket pesawat, bus/shuttle, kereta, hotel dll nya. Jd g perlu khawatir dan ribet lagi ketika kita melakukan travelling ke tempat wisata yang kita tuju dengan traveloka ini."
agung purwo susilo,1,10/29/2023 8:38,"Pembayaran ribet, saldo uangku entah kemana. Saya berusaha membuat pesanan lewat traveloka tidak ada opsi pembayaran lewat transfer (transfer bank hitam semua tidak bisa diklik), satu satunya saran pembayaran lewat uangku. Setelah saya transfer lewat uangku (yang tidak bisa di install di android versi terbaru). Ternyata uang malah hilang dan traveloka gak mau bertanggung jawab.."
Andicky Adila,5,11/17/2023 9:22,"Terimakasih Traveloka atas terbuatnya aplikasi ini, sangat bermanfaat ketika ingin berpergian kemanapun dan dimanapun. ??"
Barre Hasdiransyah,1,11/10/2023 6:11,"Refun mana, ini sudah mencapai 6 hari, data sudah saya kirim lengkap, tapi mana respon nya, balik lagi balik lagi, ga ada solusinya, kacau banget cs nya?"
Stianti Kawani,1,11/9/2023 8:45,Saya pesen tiket lewat paylater. di batalkan sama maskapai. Trus pas mau jatuh tempo di tlp agen traveloka suruh bayar cicilan padahal lagi ngurus refund. banyak bohongnya tuh orang2. Katanya suruh bayar dulu aja ntar duitnya di kembalikan. Eh padahal mah yg di kembalikan cuma seiprit. Yang batalkan maskapai kenapa saya yang nanggung kerugian yak????
Ulya Asha,5,11/14/2023 8:57,"Sangat membantu banget buat bepergian. Paling bisa diandalkan pokoknya. Urusan pergi2 darat,laut,udara dan semua destinasi terlengkap ya di traveloka"
Leni Febriyanti,5,11/11/2023 23:02,"Puas dengan aplikasinya, sangat dibantu sampai selesai ketika ada masalah saat pesan hotel. Terima kasih Traveloka semoga semakin jaya"
Witri Septia Ningrum,5,11/8/2023 8:10,"Udah si, ini tuh udah jadi aplikasi yang paling favorit kalau mau jalan2 kemanapun jadi mudah, tiket transportasi gampang, mau nyari hotel di beberapa kota juga tinggal klik klik langsung jadi deh bookinganya, favorit bangetttt"
Bodong Bodong,5,11/1/2023 9:49,"Aplikasi ini bagus sangat mempermudah masyarakat untuk membeli tiket, tidak perlu cape cape untuk antri. Yang paling keren si disini banyak diskonnya ditambah pilihan paket liburan yang sangat banyak."
Julia Eka Putri,1,11/14/2023 16:08,refund saya tidak masuk ke rekening sya. padahal keterangannya ditutup dengan dana sudah di transfer ke rekening. di chat balasnya lama sekali dan berbelit-belit. kembalikan uang saya!
Puspita Dian,5,11/14/2023 11:45,"Aplikasi yang sangat bagus , memudah kan pengguna untuk memesan tiket pesawat, hotel, tempat wisata, Fiturnya juga mudah dan nyaman digunakan.."
Tazkia JTS,5,10/20/2023 12:11,"Aku tidak pernah menggunakan aplikasi pemesanan tiket online selain traveloka, mulai bulan Oktober: aku mau pesan tiket kereta api ,pesawat, hotel, wahana experience utk keliling 5 kota dijawa semua lancar, setiap review hotel aku pastikan tuk baca sampai review di google maps jg sebagai pembanding, mengisi data dg teliti setiap melakukan pemesanan. Sukses trs Traveloka"
Anak agung Rehana,3,10/23/2023 8:27,"Sekarang traveloka suka spam telepon untuk mengingatkan customer nya membayar tagihan ya, ? Walaupun tanggal jatuh tempo nya masih lama . Bagus sih antisipasi nya untuk nanganin cust nakal tapi jadi risih juga , dikira nggak bakal bayar. Makasih."
Nafisah Maharani,1,11/2/2023 0:02,Sudah di instal dan uninstall 2x tapi app tidak bisa digunakan tolong ini gmn . Yg pertama pencarian apapun hasilnya tidak tersedia. Sekarang muat ulang terus keterangan terkendala koneksi padahal buat yg lain lancar aja koneksinya
Abdul Adzim,1,10/23/2023 11:20,"Masih banyak penyedia� akomodasi yg tidak jujur, alias penipuan berkedok penginapan, baru saja saya alami, harusnya traveloka bisa membaca kejadian seperti ini dan, menutup iklan� penyedia akomodasi yang tidak jujur, dengan apa yang ditawarkan, kesimpulan nya traveloka masih belum aman, uang saya hilang, karena tidak bisa refund, dan penginapan jauh dari kata layak."
M Rizki Ramadhan (Rizki),5,11/2/2023 6:48,"Traveloka sangat rekomendasi bnget sih... Memudahkan perjalanan mulai tiket pesawat bis keretapi, eittt ga itu aja traveloka juga buat cekin hotel bioskop dan bnyak bnget yg lain nya, oh iya aku mau bagi pengalaman kemarin pake traveloka pesen tiket pesawat ga ribet2 sangat mudah dan praktis, yok tunggu apa lagi pake traveloka untuk nemenin perjalanan kmu"
Astuti Emon,5,10/25/2023 8:15,"Traveloka sangat rekomendasi bnget sih... Memudahkan perjalanan mulai tiket pesawat bis keretapi, eittt ga itu aja traveloka juga buat cekin hotel bioskop dan bnyak bnget yg lain nya, oh iya aku mau bagi pengalaman kemarin pake traveloka pesen tiket pesawat ga ribet2 sangat mudah dan praktis, yok tunggu apa lagi pake traveloka untuk nemenin perjalanan kmu??"
Verdy Aditya Pamungkas,5,10/29/2023 12:34,"Ini aplikasi mempermudah booking tiket pesawat dan hotel, gak perlu takut kehabisan tiket dan kemahalan harga. Karna kita bisa cek dari aplikasi ini dan menyesuaikan dengan budget kita. Cocok banget buat yang mau liburan atau ada kepentingan bisa booking lewat traveloka. Thank you traveloka"
Wayan Nuriantika,3,10/21/2023 9:07,"Saya pesan hotel melalui traveloka, saat pesanan sudah berhasil dan terbayar, tiba-tiba pihak hotel memberi kabar bahwa kamarnya penuh, dan saya dialihkan ke properti mereka yg lain. Pihak hotel bilang bahwa itu kesalahan dari traveloka karena tidak close. Apa benar demikian?"
