review,kebersihan,linen,service,Gabungan
layanan y memuaskan ...masukan aja kamar yg kami tempati agak bau y kurang enak...mungkin kamar y bisa di kasih pengharum ruanagan...,neut,neut,pos,neutneutpos
"pelayanan yang memuaskan bagai di rumah sendiri, ac harus sering di cuci agar dingin. ",neut,neut,pos,neutneutpos
"Nyaman, pelayanan baik hanya air hangatnya tak berfungsi dengan baik",neut,neut,pos,neutneutpos
nyaman sekali... kamar luas... pegawai ramah... sayangnya air panas tidak berfungsi,neut,neut,pos,neutneutpos
"Overall baik murah pelayanan prima semua fasilitas lengkap sesuai yang ditawarkan pada saat reservasi... namun, salah satu kamar dr pesanan saya yang ACnya panas. untungnya pihak hotel bersedia mindahkan kamar ke yg lebih baik... NICE airy !!!",neut,neut,pos,neutneutpos
"bagus kamarnya, pelayanan jg bagus, kekurangannya channel tv kabel sedikit",neut,neut,pos,neutneutpos
Pelayanan baik .... tp ga ada air panasnya,neut,neut,pos,neutneutpos
"pelayanan ramah, saran aja mungkin lebih diperhatikan water heater nya. Selebihnya, OK",neut,neut,pos,neutneutpos
"Lokasi strategis dekat mall, ac dingin, pelayanan ok tp toilet agak bau dan remote tv tdk berfungsi dgn baik",neut,neut,pos,neutneutpos
"Puas dgn pelayanan dan keramahan staff, cocok untuk backpacker dgn harga yg relatif terjangkau. Tp air agak berbau harap ditindak lanjuti untuk air mandi dan flush toilet. Terima kasih :)",neut,neut,pos,neutneutpos
"sesuai harga, cukuplah, yg penting ramah, fyi : air panasnya berfungsi setelah 5mnt+ air keluar.",neut,neut,pos,neutneutpos
"overall sy puas dgn layanan airyroom hanya saja yg perlu dperbaiki adalah kamar mandi yg agak bau saat ptama saya masuk, mhn dksh pengharum atau karbol..  ",neut,neut,pos,neutneutpos
"pelayanannya ramah. tempat tidur nyaman, bersih , AC menyala air panas bisa di gunakan wifinya sangat kencang .. mungkin yang perlu diperbaiki bau saluran air di kamar mandi, tp langsung hilang baunya sejauh ini sangat memuaskan ... terimakasih",neut,neut,pos,neutneutpos
pelayanan sangat memuaskan tp pendingin ruangan 803 kurang dingin perlu pembersihan terimah kasih,neut,neut,pos,neutneutpos
semua baikndr segi fasilitas dan pelayanan. minusnya di ac yg kurang dingin,neut,neut,pos,neutneutpos
pelayanan bagus tp 1 kamar yg di pesen ac ga dingin dan kmr mandi bau,neut,neut,pos,neutneutpos
Water heater tidak nyala & ac kurang dingin. Selebihnya pelayanan ok,neut,neut,pos,neutneutpos
"Bagus, nyaman, sangat dekat dengan St Kereta Sawah Besar. Makanannya standar tapi. Siaran TV nya jg bisa di tambah mustinya. Staff ramah dan membantu. NO DEPOSIT",neut,neut,pos,neutneutpos
"kamar sesuai yg di foto,  sarapan pg ny lmyn,  chek in cpt n ga pk deposit,  kurang ny di gang2 AC gak on,  keran wastafel kluar ny kecil,  yg lain2 ok lah",neut,neut,pos,neutneutpos
sy lbh suka twin bed room dibanding double bed room krn lbh lengkap. wifi kamar sedang rusak. pegawai sangat ramah,neut,neut,pos,neutneutpos
"ruangnya terkesan sempit, airy hanya dapat kamar di lt 1, tidak ada jendela, tidak ada hot shower. ruko yg dijadikan hotel jadi agak boring aja dikamar terus tidak bs melihat situasi luar kamar. pelayanannya baik, wifi kencang, air mineral dr air galon (isi sendiri). hotelnya harusnya masuk ke eco bukan standard.",neut,neut,pos,neutneutpos
"Pelayanan ramah sekali, namun gang jalan masuk terlalu kecil.. untuk kamar nya sendiri AC nya kurang dingin, banyak nyamuk..",neut,neut,pos,neutneutpos
"pelanyanan  cukup  baik, cuman chanel  tv  ya , ada sedikit  masalah ",neut,neut,pos,neutneutpos
"pelayanan baik, kamar nyaman. cuman sayang bau rokok kamarnya",neut,neut,pos,neutneutpos
"pelayanan ramah, hotel baru, kamar Mandi besar, tapi sayangnya air panas untuk malem tidak menyala ( agak kecewa dengan ini)",neut,neut,pos,neutneutpos
susah terhubung wifi di lantai 3. petugas hotel ramah..,neut,neut,pos,neutneutpos
"Staff ramah, cuma wifi di kamar tidak terjangkau",neut,neut,pos,neutneutpos
"resepsionis yang ramah, tapi acnya kurang dingin",neut,neut,pos,neutneutpos
"overall oke, hanya AC kurang dingin, banyak cat sudab lapuk perlu cat ulang, pegawai ramah Deket  kemana mana",neut,neut,pos,neutneutpos
"untuk ke 2x nginap di sini , kamar luas, loaksai strategis, sarapannya enak, pelayanannya ramah, WiFi lemot dikit",neut,neut,pos,neutneutpos
"Pelayanannya cukup baik , channel tvnya kadang erorr ",neut,neut,pos,neutneutpos
"Pelayanan baik & ramah, breakfast jg bisa diganti pke sahur dan diantar ke kamar. Sayang wifi sm ac nya ga jalan ",neut,neut,pos,neutneutpos
"pelayan sangat ramah terhadap tamu, lokasinya pun strategis karena dekat dengan stasiun (15-20 menit jalan kaki). tapi sayang, wifinya tidak sampai ke kamar saya",neut,neut,pos,neutneutpos
kamar rapih + layanan memuaskan. tapi pintu kamar mandi & water heater perlu di perbaiki,neut,neut,pos,neutneutpos
"Pelayanannya baik, kamar oke sesuai harga, hanya saja kamar mandinya butuh pengharum karna ada bau pesing. Selain itu channel TV banyak yang tidak bisa ditonton karna poor signal. Overall, hotel ini letaknya strategis cocok buat yang ada urusan di daerah kuningan. Sisi plus lainnya adalah  cari makanan di sekitar hotel sangat mudah.",neut,neut,pos,neutneutpos
Pelayanan sudah baik. fasilitas sudah sesuai dengan harga. hanya saja AC berisik.,neut,neut,pos,neutneutpos
"puas sih dengan kamarnya. luas dan panjang, ranjang twin nya juga lebar2. staff resepsionis ramah dan helpful. hanya satu hal yang mengecewakan, wifi mati alias tidak bisa diakses. katanya sedang diperbaiki tp sampai sy cekout tak kunjung bs dipakai..",neut,neut,pos,neutneutpos
"ya lumayanlah buat budget segitu, pelayanan ramah kasih bintang **** lah cuma kamar mandi nya aja gak ada blowernya jadi agak bau",neut,neut,pos,neutneutpos
"pelayanan ramah, yg kurang air panas kamar mandi tidak ada, wifi tidak dapat terhubung, dan pencahayaan terlalu minim menurut saya.",neut,neut,pos,neutneutpos
"karyawannya ramah... cuman, pada waktu c/i kamar sy belum di ser property airy.. saya tlf baru FO ny sadar klu sy itu c/i lewat airy (padahal sdh berikan fouchernya).ket  airynya ada air panas/dingin... tapi ketika saya mandi adanya cmn air dingin.. sy konfrmasi katanya cmn kamar standar jadi ga punya air panas. brti ket hotelx boong.",neut,neut,pos,neutneutpos
kamar nya oke bagus rapi.ac dingin. ramah.tapi wifinya parah gk bisa dipake..,neut,neut,pos,neutneutpos
"Kamar luas, tempat nya agak masuk ke dalam gang, sinyal wifi tidak stabil, staff ramah, parkiran luas",neut,neut,pos,neutneutpos
"kamar bagus dan karyawan ramah, tapi satu hal hanya waktu sarapan pukul 8wita belum siap dan baru di bikin!!payah.. andai kalau aku nggak turun kamar mungkin nggak di sediain.. untuk lainnya good",neut,neut,pos,neutneutpos
bagus. tapi ga ada sinyal di dalam kamar. wifi juga ga sampek. tapi nyaman. pelayanan cukup,neut,neut,pos,neutneutpos
"Kamar cukup nyaman, minimalis, reseptionis ramah, hanya saja air ac sedikit bocor dan mengalir ke pintu, dan air shower saat pertama kali dihidupkan agak sedikit bau, juga bagian atap kamar ada tikus, juga Channel TV sedikit, dan juga restaurant tutup sebelum jam 7 malam, padahal dibuku room service tertulis close jam 9 malam. Mohon diperbaiki.",neut,neut,pos,neutneutpos
"Bau,berisik, tidak bsa ganti type room, tdk bisa refund, semua serba tidak bisa .. lokasi diperumahan jauh dri tmpat mkan atau indomaret alfamart. Stafnya baik sih cuma semua ketentuan dari airy langsung. Tidak akan nginap kesana lagi",neut,neut,pos,neutneutpos
sarapan sangat kurang service baik,neut,neut,pos,neutneutpos
"staff ya baik dan ramah, air panas kurang panas ",neut,neut,pos,neutneutpos
"Pelayanan ramah, kamar nya dingin, cuma air mandinya kurang panas,",neut,neut,pos,neutneutpos
"Pelayanannya baik, namun jaringan wifi-nya kurang baik.",neut,neut,pos,neutneutpos
"Pelayanan baik, cuma ac kurang dingin sma air gak da air panas",neut,neut,pos,neutneutpos
"pelayanan baik, ramah, hanya TV nya terlalu kecil.",neut,neut,pos,neutneutpos
"pelayanan baik... bahkan mobil di cuci, cuma agak sayang di kamar 202 TV, belum Flat dan air panas tidak berfungsi... Tapi selebihnya memuaskan",neut,neut,pos,neutneutpos
tempat nya nyaman banget .. pelayanannya ramah . yang kurang air kamar Mandi nya kecil .. Dan AC nya kurang dingin,neut,neut,pos,neutneutpos
"pelayanan ramah, ac dingin, tapi kesel nya ketika reservasi saya tidak terdaftar di hotel tsb, dan tv hotel yg remotnya tak berfungsi. ditambah penjaga kantin yang tidak memberikan kembalian tnpa berbicara apapun",neut,neut,pos,neutneutpos
"Pelayanan ok, qt tiba di hotel jam 12 tengah malam masih ditunggu. Cuma debit air shower yg kurang dan kamar mandi perlu perbaikan dikit. So far rekom deh",neut,neut,pos,neutneutpos
Tempat ramai dan tidak susah cari minimarket karena ada indomaret dan alfa. Akses pinggir jalan. Customer servicenya ramah sekali. Cuma AC-nya pas subuh tiba-tiba kurang dingin harga dengan fasilitas good.,neut,neut,pos,neutneutpos
Pelayananya ramah tapi sayang wifinya susah,neut,neut,pos,neutneutpos
Cek in lancar tapi ac nya tidak dingin,neut,neut,pos,neutneutpos
"Suasana hotel jadul menyenangkan, kayak di China Town di mana gitu. Dekat dengan Stasiun Gambir. Para staff hotel ramah. Sarapan enaaaaaak. Fasilitas kamar berfungsi baik. Wifi tidak terlalu kuat (karena kamar di lantai 5). Worth it untuk yang suka nuansa zaman dulu. Terima kasih  Airy Rooms!",neut,neut,pos,neutneutpos
"breakfastnya enak, staff dan pelayanannya sangat ramah, hanya Ac yang kurang dingin",neut,neut,pos,neutneutpos
view bagus pelayanan bagus cm ac aja kurang dingin,neut,neut,pos,neutneutpos
"sejauh ini baik, apalagi pengantaran ke bandara juga gratis. Mungkin wifinya bisa diperbaiki karena saya sudah berapa kali coba connect tapi selalu gagal mendapatkan IP. Over all untuk staff semuanya sangat baik, sopan dan benar2 ramah.",neut,neut,pos,neutneutpos
Tempat nyaman & Receptionist ramah. Hanya saat tengah malam ada tamu telpon didepan receptionist dg pintu pembatas ruangan dibiarkan terbuka oleh petugas malam yg berperawakan kurus shg suara terdengar di kanar. Secara keseluruhan baik.,neut,neut,pos,neutneutpos
"Tidak ada jaringan di kamar/wifi, telefon pun rusak jadi tidak bisa pesan makan dibawah. tapi resepsionis nya oke, cepat dan ramah.",neut,neut,pos,neutneutpos
"Pelayan yg baik dan ramah. tempat sesuai dengan gambar. tempat strategis sehingga memudahkan akses kemanapun. Namun, kualitas wifi perlu diperbaiki, karena jaringan yg sangat lambat. suasana nyaman dan relax. ",neut,neut,pos,neutneutpos
"Stafnya cepat tanggap dan ramah, rasa makanan lumayan, lokasi dekat mega mall, desain hotel antik, cuma sayangnya lantai kamar mandi kurang didesain bagus, kalau mandi air tidak bisa mengalir ke pembuangan, air mandi kurang panas.",neut,neut,pos,neutneutpos
"pelayanan bagus, suasanya jg nyaman, hanya saja pas pertama masuk kamar bau kampernya krasa bgt",neut,neut,pos,neutneutpos
"pelayanan memuaskan, makanan enak, cuma kamar mandi agak bau. over all ok",neut,neut,pos,neutneutpos
"Stafnya ramah dan responsif, membantu dengan cepat saat dibutuhkan.",neut,neut,pos,neutneutpos
"Pelayanan yang sangat baik, stafnya sopan dan membantu setiap saat.",neut,neut,pos,neutneutpos
"Resepsionisnya sangat ramah, memberikan informasi dengan jelas dan ramah.",neut,neut,pos,neutneutpos
"Pelayanan hotelnya istimewa, stafnya sigap mengatasi setiap permintaan dengan cepat.",neut,neut,pos,neutneutpos
"Stafnya helpful banget, selalu siap membantu dengan senyum di wajah.",neut,neut,pos,neutneutpos
"Resepsionisnya sangat ramah, memberikan pelayanan yang sangat baik dan informatif.",neut,neut,pos,neutneutpos
"Staf hotelnya sangat profesional, membantu dalam setiap kebutuhan tamu.",neut,neut,pos,neutneutpos
"Pelayanan yang luar biasa, stafnya ramah dan mengakomodasi setiap kebutuhan dengan baik.",neut,neut,pos,neutneutpos
"Stafnya sangat perhatian, memberikan pelayanan terbaik selama menginap di sini.",neut,neut,pos,neutneutpos
"Pelayanannya cepat dan efisien, stafnya pun sangat sopan dan ramah.",neut,neut,pos,neutneutpos
"Resepsionisnya sangat membantu, selalu siap memberikan informasi yang diperlukan.",neut,neut,pos,neutneutpos
"Staf hotelnya sangat mengesankan, penuh perhatian terhadap tamu.",neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, stafnya responsif terhadap kebutuhan tamu.",neut,neut,pos,neutneutpos
"Stafnya sangat ramah, memberikan saran dan bantuan dengan sangat baik.",neut,neut,pos,neutneutpos
"Resepsionisnya sangat informatif, memberikan panduan yang jelas selama menginap.",neut,neut,pos,neutneutpos
"Staf hotelnya sangat profesional, memberikan pelayanan yang luar biasa selama menginap.",neut,neut,pos,neutneutpos
"Pelayanan yang sangat baik, stafnya sangat friendly dan siap membantu setiap saat.",neut,neut,pos,neutneutpos
"Pelayanan di hotel ini luar biasa, staf sangat ramah dan membantu.",neut,neut,pos,neutneutpos
Saya terkesan dengan keramahan dan profesionalisme staf hotel.,neut,neut,pos,neutneutpos
"Staf hotel sangat responsif terhadap kebutuhan tamu, pelayanan yang cepat dan efisien.",neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, kebersihan dan kerapian dijaga dengan baik.",neut,neut,pos,neutneutpos
Saya sangat puas dengan tingkat perhatian dan keramahan yang diberikan oleh staf hotel.,neut,neut,pos,neutneutpos
Ketepatan waktu dalam layanan kamar dan tanggapan yang sigap terhadap permintaan tamu.,neut,neut,pos,neutneutpos
Staf hotel memberikan pelayanan yang luar biasa dan selalu tersenyum.,neut,neut,pos,neutneutpos
"Pelayanan restoran hotel sangat memuaskan, staf sangat ramah dan membantu.",neut,neut,pos,neutneutpos
Saya merasa dihargai sebagai tamu dengan pelayanan yang diberikan oleh staf hotel.,neut,neut,pos,neutneutpos
Kualitas pelayanan yang konsisten dari seluruh staf hotel.,neut,neut,pos,neutneutpos
"Pelayanan concierge yang sangat membantu, memberikan informasi yang lengkap dan jelas.",neut,neut,pos,neutneutpos
Staf hotel sangat peduli terhadap kebutuhan tamu dan sangat berpengetahuan.,neut,neut,pos,neutneutpos
"Pelayanan kamar yang memuaskan, selalu dibersihkan dengan baik dan rapi setiap hari.",neut,neut,pos,neutneutpos
Saya terkesan dengan ketersediaan staf hotel yang selalu siap membantu tamu.,neut,neut,pos,neutneutpos
Kesopanan dan keramahan staf hotel terlihat dalam setiap interaksi.,neut,neut,pos,neutneutpos
Pelayanan resepsionis yang cepat dan informatif saat proses check-in.,neut,neut,pos,neutneutpos
"Staf hotel memberikan pelayanan luar biasa tanpa terkecuali, selalu ramah dan sigap.",neut,neut,pos,neutneutpos
Saya sangat senang dengan tingkat profesionalisme dan kepedulian staf hotel.,neut,neut,pos,neutneutpos
"Kualitas pelayanan yang luar biasa, staf selalu memberikan yang terbaik.",neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, staf selalu menjaga kebersihan dengan baik.",neut,neut,pos,neutneutpos
Staf hotel sangat sigap dalam menanggapi setiap permintaan dan keluhan tamu.,neut,neut,pos,neutneutpos
Ketepatan waktu dalam layanan concierge dan pelayanan yang informatif.,neut,neut,pos,neutneutpos
"Pelayanan restoran yang sangat memuaskan, staf memberikan perhatian ekstra kepada tamu.",neut,neut,pos,neutneutpos
Saya sangat terkesan dengan ketersediaan staf hotel yang siap membantu kapan saja.,neut,neut,pos,neutneutpos
Keramahan dan kesabaran staf hotel dalam menjawab setiap pertanyaan tamu.,neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, staf hotel selalu menjaga kebersihan dan kerapian.",neut,neut,pos,neutneutpos
Staf hotel memberikan pelayanan yang ramah dan sangat informatif.,neut,neut,pos,neutneutpos
Kesigapan staf hotel dalam menyelesaikan permintaan tamu dengan cepat.,neut,neut,pos,neutneutpos
Pelayanan resepsionis yang ramah dan membantu selama proses check-in dan check-out.,neut,neut,pos,neutneutpos
"Kualitas pelayanan yang sangat baik, staf selalu memberikan perhatian yang maksimal.",neut,neut,pos,neutneutpos
Staf hotel sangat terampil dalam menangani situasi yang kompleks dengan baik.,neut,neut,pos,neutneutpos
Pelayanan concierge yang sangat informatif dan membantu.,neut,neut,pos,neutneutpos
Keramahan dan kepedulian staf hotel membuat pengalaman menginap jadi istimewa.,neut,neut,pos,neutneutpos
"Pelayanan kamar yang luar biasa, staf selalu menjaga kebersihan dan kenyamanan.",neut,neut,pos,neutneutpos
Staf hotel sangat sigap dalam menanggapi permintaan tamu dengan cepat.,neut,neut,pos,neutneutpos
Kesigapan staf hotel dalam menyelesaikan masalah yang timbul selama menginap.,neut,neut,pos,neutneutpos
"Pelayanan restoran yang sangat baik, staf memberikan perhatian khusus kepada tamu.",neut,neut,pos,neutneutpos
Saya sangat terkesan dengan tingkat keramahan dan kesopanan staf hotel.,neut,neut,pos,neutneutpos
"Kualitas pelayanan yang luar biasa, staf selalu memberikan yang terbaik.",neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, staf selalu menjaga kebersihan dengan sempurna.",neut,neut,pos,neutneutpos
Staf hotel sangat ramah dan responsif terhadap setiap kebutuhan tamu.,neut,neut,pos,neutneutpos
Pelayanan concierge yang sangat membantu dan informatif.,neut,neut,pos,neutneutpos
Keramahan dan kesigapan staf hotel dalam memberikan pelayanan yang istimewa.,neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, staf selalu menjaga kebersihan dengan baik.",neut,neut,pos,neutneutpos
Staf hotel sangat memahami kebutuhan tamu dan memberikan pelayanan yang luar biasa.,neut,neut,pos,neutneutpos
Ketepatan waktu dalam layanan concierge dan pelayanan yang informatif.,neut,neut,pos,neutneutpos
"Pelayanan restoran yang sangat memuaskan, staf memberikan perhatian ekstra kepada tamu.",neut,neut,pos,neutneutpos
Staf hotel sangat sigap dalam menanggapi setiap permintaan tamu.,neut,neut,pos,neutneutpos
Kesigapan staf hotel dalam menanggapi situasi yang kompleks dengan baik.,neut,neut,pos,neutneutpos
"Pelayanan kamar yang sangat baik, staf hotel selalu menjaga kebersihan dengan baik.",neut,neut,pos,neutneutpos
